# Bischoff & Ratcliff container-loading instance BR7-75, converted from
# BR/BR7/75.json (kcliu2/CLP-Datasets on GitHub).
# Source: Bischoff, E.E. & Ratcliff, M.S.W. (1995), Omega 23(4):377-390.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 129 (20 distinct types)
# Total profit if all packed: 30034577
# Total box volume: 30034577   Container volume: 30089620   (ratio 0.998)

BOXES
1 8 101 81 24 1
2 5 94 72 29 1
3 7 79 72 47 1
4 5 90 36 35 1
5 5 68 51 40 1
6 11 48 45 35 1
7 9 108 84 69 1
8 7 91 45 31 1
9 4 84 80 62 1
10 6 77 71 41 1
11 5 91 78 42 1
12 10 82 80 60 1
13 3 89 42 26 1
14 3 45 41 30 1
15 8 79 51 29 1
16 10 56 53 20 1
17 7 117 78 39 1
18 2 84 78 42 1
19 7 118 66 46 1
20 7 116 42 30 1
CONTAINERS
1 1 587 220 233
