# Bischoff & Ratcliff container-loading instance BR7-23, converted from
# BR/BR7/23.json (kcliu2/CLP-Datasets on GitHub).
# Source: Bischoff, E.E. & Ratcliff, M.S.W. (1995), Omega 23(4):377-390.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 157 (20 distinct types)
# Total profit if all packed: 29897216
# Total box volume: 29897216   Container volume: 30089620   (ratio 0.994)

BOXES
1 4 84 81 23 1
2 4 115 72 64 1
3 15 77 49 25 1
4 10 40 37 22 1
5 6 97 96 46 1
6 12 95 43 25 1
7 6 90 69 28 1
8 3 56 51 49 1
9 5 118 93 80 1
10 5 56 47 41 1
11 7 78 71 27 1
12 10 88 62 41 1
13 8 87 53 21 1
14 8 105 47 28 1
15 3 103 68 65 1
16 10 67 64 31 1
17 8 83 37 27 1
18 10 44 31 29 1
19 13 91 69 49 1
20 10 90 61 42 1
CONTAINERS
1 1 587 220 233
