# Bischoff & Ratcliff container-loading instance BR7-88, converted from
# BR/BR7/88.json (kcliu2/CLP-Datasets on GitHub).
# Source: Bischoff, E.E. & Ratcliff, M.S.W. (1995), Omega 23(4):377-390.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 142 (20 distinct types)
# Total profit if all packed: 29647993
# Total box volume: 29647993   Container volume: 30089620   (ratio 0.985)

BOXES
1 5 100 60 40 1
2 4 89 67 34 1
3 7 92 80 38 1
4 12 90 81 24 1
5 8 84 52 38 1
6 6 77 54 46 1
7 5 90 49 33 1
8 9 78 45 27 1
9 11 76 57 28 1
10 4 102 38 27 1
11 7 55 45 39 1
12 4 115 78 29 1
13 6 98 58 53 1
14 11 75 64 44 1
15 5 61 57 20 1
16 6 94 92 78 1
17 7 114 58 42 1
18 7 98 67 27 1
19 12 85 79 45 1
20 6 111 49 22 1
CONTAINERS
1 1 587 220 233
