# Bischoff & Ratcliff container-loading instance BR7-100, converted from
# BR/BR7/100.json (kcliu2/CLP-Datasets on GitHub).
# Source: Bischoff, E.E. & Ratcliff, M.S.W. (1995), Omega 23(4):377-390.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 122 (20 distinct types)
# Total profit if all packed: 30000959
# Total box volume: 30000959   Container volume: 30089620   (ratio 0.997)

BOXES
1 6 78 49 47 1
2 4 46 45 43 1
3 4 98 44 36 1
4 8 100 89 31 1
5 6 108 76 47 1
6 6 75 36 28 1
7 5 108 82 56 1
8 4 45 41 24 1
9 8 103 48 38 1
10 7 74 62 46 1
11 11 96 56 44 1
12 4 117 64 42 1
13 9 73 71 50 1
14 3 61 48 47 1
15 9 91 49 27 1
16 7 78 77 28 1
17 3 119 78 34 1
18 6 106 78 63 1
19 6 82 68 62 1
20 6 100 73 53 1
CONTAINERS
1 1 587 220 233
