# Bischoff & Ratcliff container-loading instance BR7-63, converted from
# BR/BR7/63.json (kcliu2/CLP-Datasets on GitHub).
# Source: Bischoff, E.E. & Ratcliff, M.S.W. (1995), Omega 23(4):377-390.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 107 (20 distinct types)
# Total profit if all packed: 29732206
# Total box volume: 29732206   Container volume: 30089620   (ratio 0.988)

BOXES
1 4 82 76 59 1
2 3 60 51 50 1
3 9 104 66 61 1
4 5 71 36 28 1
5 1 89 77 26 1
6 7 108 84 66 1
7 5 90 51 45 1
8 4 48 35 33 1
9 6 89 57 52 1
10 5 99 77 58 1
11 5 92 86 66 1
12 10 93 80 46 1
13 6 72 45 39 1
14 5 73 46 24 1
15 6 112 71 37 1
16 4 70 69 69 1
17 2 112 64 27 1
18 6 52 42 39 1
19 7 120 84 23 1
20 7 94 61 36 1
CONTAINERS
1 1 587 220 233
