# Bischoff & Ratcliff container-loading instance BR7-3, converted from
# BR/BR7/3.json (kcliu2/CLP-Datasets on GitHub).
# Source: Bischoff, E.E. & Ratcliff, M.S.W. (1995), Omega 23(4):377-390.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 126 (20 distinct types)
# Total profit if all packed: 30033026
# Total box volume: 30033026   Container volume: 30089620   (ratio 0.998)

BOXES
1 4 97 81 27 1
2 4 102 78 39 1
3 10 113 46 36 1
4 7 66 50 42 1
5 6 101 30 26 1
6 6 100 56 35 1
7 4 91 50 40 1
8 4 106 61 56 1
9 9 103 63 58 1
10 7 75 57 41 1
11 5 71 68 64 1
12 7 85 67 39 1
13 7 97 63 56 1
14 5 61 48 30 1
15 5 80 54 35 1
16 12 73 66 62 1
17 8 90 74 69 1
18 4 118 61 40 1
19 4 94 43 31 1
20 8 90 49 30 1
CONTAINERS
1 1 587 220 233
