# Bischoff & Ratcliff container-loading instance BR7-64, converted from
# BR/BR7/64.json (kcliu2/CLP-Datasets on GitHub).
# Source: Bischoff, E.E. & Ratcliff, M.S.W. (1995), Omega 23(4):377-390.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 108 (20 distinct types)
# Total profit if all packed: 29897492
# Total box volume: 29897492   Container volume: 30089620   (ratio 0.994)

BOXES
1 6 114 54 20 1
2 6 92 87 50 1
3 4 114 43 26 1
4 5 93 69 42 1
5 5 80 79 64 1
6 5 99 80 29 1
7 3 60 54 47 1
8 3 54 53 32 1
9 15 113 75 68 1
10 4 67 66 49 1
11 3 65 30 21 1
12 4 110 63 29 1
13 7 75 60 27 1
14 2 95 71 40 1
15 11 92 74 67 1
16 6 55 43 38 1
17 4 105 32 31 1
18 4 90 81 46 1
19 8 90 60 38 1
20 3 77 42 22 1
CONTAINERS
1 1 587 220 233
