# Bischoff & Ratcliff container-loading instance BR7-70, converted from
# BR/BR7/70.json (kcliu2/CLP-Datasets on GitHub).
# Source: Bischoff, E.E. & Ratcliff, M.S.W. (1995), Omega 23(4):377-390.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 111 (20 distinct types)
# Total profit if all packed: 29923263
# Total box volume: 29923263   Container volume: 30089620   (ratio 0.994)

BOXES
1 3 56 32 28 1
2 6 92 68 39 1
3 5 90 86 29 1
4 7 73 54 52 1
5 4 114 100 45 1
6 5 94 51 36 1
7 8 108 59 38 1
8 7 89 82 61 1
9 7 81 71 43 1
10 8 61 53 37 1
11 7 85 70 58 1
12 8 111 98 39 1
13 3 66 62 59 1
14 6 117 87 49 1
15 5 70 62 40 1
16 4 36 30 30 1
17 5 80 62 57 1
18 6 73 72 54 1
19 4 89 67 41 1
20 3 82 51 38 1
CONTAINERS
1 1 587 220 233
