# Bischoff & Ratcliff container-loading instance BR7-31, converted from
# BR/BR7/31.json (kcliu2/CLP-Datasets on GitHub).
# Source: Bischoff, E.E. & Ratcliff, M.S.W. (1995), Omega 23(4):377-390.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 161 (20 distinct types)
# Total profit if all packed: 30022625
# Total box volume: 30022625   Container volume: 30089620   (ratio 0.998)

BOXES
1 8 70 63 49 1
2 4 84 54 49 1
3 9 89 70 42 1
4 12 80 48 39 1
5 5 114 47 42 1
6 6 92 62 34 1
7 11 72 66 43 1
8 7 120 55 46 1
9 12 106 62 25 1
10 9 72 53 34 1
11 8 74 44 35 1
12 5 103 71 28 1
13 7 115 35 31 1
14 10 117 62 39 1
15 9 60 32 32 1
16 7 86 80 39 1
17 7 71 70 42 1
18 6 87 58 32 1
19 7 97 44 29 1
20 12 95 61 30 1
CONTAINERS
1 1 587 220 233
