# Bischoff & Ratcliff container-loading instance BR7-40, converted from
# BR/BR7/40.json (kcliu2/CLP-Datasets on GitHub).
# Source: Bischoff, E.E. & Ratcliff, M.S.W. (1995), Omega 23(4):377-390.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 119 (20 distinct types)
# Total profit if all packed: 30022835
# Total box volume: 30022835   Container volume: 30089620   (ratio 0.998)

BOXES
1 2 85 77 62 1
2 5 94 63 32 1
3 4 83 75 45 1
4 6 95 95 54 1
5 7 76 76 30 1
6 3 113 66 44 1
7 4 108 71 61 1
8 6 118 62 37 1
9 11 93 58 48 1
10 9 60 32 29 1
11 7 97 75 59 1
12 3 105 56 35 1
13 8 67 58 53 1
14 5 96 51 37 1
15 6 91 52 32 1
16 6 73 70 32 1
17 10 96 80 22 1
18 8 94 82 66 1
19 2 95 76 73 1
20 7 64 29 23 1
CONTAINERS
1 1 587 220 233
