# Bischoff & Ratcliff container-loading instance BR7-18, converted from
# BR/BR7/18.json (kcliu2/CLP-Datasets on GitHub).
# Source: Bischoff, E.E. & Ratcliff, M.S.W. (1995), Omega 23(4):377-390.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 103 (20 distinct types)
# Total profit if all packed: 30014474
# Total box volume: 30014474   Container volume: 30089620   (ratio 0.998)

BOXES
1 3 104 55 30 1
2 4 92 89 73 1
3 7 88 88 43 1
4 4 90 60 60 1
5 6 79 53 41 1
6 7 96 91 28 1
7 3 100 90 79 1
8 3 73 42 32 1
9 6 115 85 60 1
10 3 113 83 76 1
11 2 68 50 31 1
12 10 70 41 30 1
13 8 104 60 26 1
14 6 86 36 29 1
15 6 114 31 29 1
16 6 44 44 42 1
17 7 73 68 62 1
18 3 98 94 74 1
19 3 92 44 40 1
20 6 99 98 68 1
CONTAINERS
1 1 587 220 233
