# Bischoff & Ratcliff container-loading instance BR7-28, converted from
# BR/BR7/28.json (kcliu2/CLP-Datasets on GitHub).
# Source: Bischoff, E.E. & Ratcliff, M.S.W. (1995), Omega 23(4):377-390.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 144 (20 distinct types)
# Total profit if all packed: 29774752
# Total box volume: 29774752   Container volume: 30089620   (ratio 0.990)

BOXES
1 10 62 59 52 1
2 6 54 52 50 1
3 4 102 69 65 1
4 7 97 76 46 1
5 5 52 50 37 1
6 3 93 85 23 1
7 8 90 38 38 1
8 8 66 60 40 1
9 7 38 31 26 1
10 7 86 60 36 1
11 1 92 47 34 1
12 7 103 69 22 1
13 14 79 71 42 1
14 9 66 33 20 1
15 8 100 93 45 1
16 5 91 84 21 1
17 11 92 47 29 1
18 7 76 55 40 1
19 6 98 90 53 1
20 11 81 75 53 1
CONTAINERS
1 1 587 220 233
