# Bischoff & Ratcliff container-loading instance BR7-86, converted from
# BR/BR7/86.json (kcliu2/CLP-Datasets on GitHub).
# Source: Bischoff, E.E. & Ratcliff, M.S.W. (1995), Omega 23(4):377-390.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 134 (20 distinct types)
# Total profit if all packed: 29531308
# Total box volume: 29531308   Container volume: 30089620   (ratio 0.981)

BOXES
1 8 87 33 28 1
2 8 97 70 57 1
3 9 71 57 38 1
4 6 63 53 47 1
5 7 77 56 37 1
6 5 102 67 47 1
7 7 72 31 29 1
8 6 84 58 38 1
9 6 84 57 56 1
10 5 88 76 33 1
11 10 109 76 73 1
12 2 57 55 54 1
13 7 115 26 25 1
14 8 71 50 41 1
15 8 102 59 29 1
16 5 69 67 45 1
17 5 50 46 38 1
18 10 78 76 38 1
19 3 95 55 31 1
20 9 98 83 38 1
CONTAINERS
1 1 587 220 233
