# Bischoff & Ratcliff container-loading instance BR7-44, converted from
# BR/BR7/44.json (kcliu2/CLP-Datasets on GitHub).
# Source: Bischoff, E.E. & Ratcliff, M.S.W. (1995), Omega 23(4):377-390.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 156 (20 distinct types)
# Total profit if all packed: 29781291
# Total box volume: 29781291   Container volume: 30089620   (ratio 0.990)

BOXES
1 13 114 67 25 1
2 12 92 79 25 1
3 12 89 87 36 1
4 3 95 71 36 1
5 5 90 83 43 1
6 11 93 39 28 1
7 11 69 54 31 1
8 3 107 61 37 1
9 8 98 52 40 1
10 6 83 69 60 1
11 9 98 63 58 1
12 9 45 40 26 1
13 9 63 44 36 1
14 8 96 56 43 1
15 9 88 42 35 1
16 11 40 37 36 1
17 6 97 74 67 1
18 3 76 45 42 1
19 4 64 43 42 1
20 4 91 53 37 1
CONTAINERS
1 1 587 220 233
