# Bischoff & Ratcliff container-loading instance BR7-61, converted from
# BR/BR7/61.json (kcliu2/CLP-Datasets on GitHub).
# Source: Bischoff, E.E. & Ratcliff, M.S.W. (1995), Omega 23(4):377-390.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 100 (20 distinct types)
# Total profit if all packed: 29476247
# Total box volume: 29476247   Container volume: 30089620   (ratio 0.980)

BOXES
1 1 109 68 64 1
2 6 84 58 55 1
3 2 96 83 24 1
4 3 74 67 37 1
5 5 107 73 70 1
6 6 80 73 54 1
7 4 72 41 33 1
8 7 84 79 74 1
9 3 40 37 20 1
10 5 74 73 42 1
11 8 55 48 33 1
12 5 109 74 70 1
13 7 107 44 39 1
14 5 99 51 47 1
15 6 80 62 38 1
16 4 46 43 37 1
17 6 94 69 36 1
18 5 98 64 48 1
19 6 99 91 70 1
20 6 113 76 52 1
CONTAINERS
1 1 587 220 233
