============================================================
  Solver:     3DMHKP-SA.py
  Instance:   /home/mcaspar/3DMHKP/Egeblad/ep3-40-C-C-50.txt
  Value mode: flat
  Timelimit:  900s
  Reports:    /home/mcaspar/3DMHKP/results_3DMHKP_ep3
  CPUs:       1
============================================================
======================================================================
3DMHKP Simulated Annealing (random single-neighbour, sequence decoder)
SA params: T0=5% of f(S_0), alpha=0.999, T_min=0.001, reheat_threshold=5753, reheat_fraction=0.25
Move weights: {'relocate': 0.0, 'swap': 1.0, '2opt': 0.0, 'promote': 1.5, 'demote': 1.5, 'orient': 1.0, 'container': 0.5}
Time limit: 900.0s per instance, seed 370019186
======================================================================

======================================================================
ep3-40-C-C-50: 40 boxes (5 types), 1 containers (1 types)
  0-1 knapsack bound: 224754.0 (continuous relaxation: 227029.5)
  initial (value-density) decode: value 73100.0 (20/40 boxes)
  T0 = 11891.5 (calibrated, 95 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 2710.87 over 900s
    [iter 1] *** NEW BEST: value 74083.0, boxes 20/40, T=11891.5, elapsed=0.2s
    [iter 2] *** NEW BEST: value 114484.0, boxes 23/40, T=11887.4, elapsed=0.2s
    [iter 24] *** NEW BEST: value 141418.0, boxes 25/40, T=11887.4, elapsed=0.2s
    [iter 5777] reheat + diversify: ceiling=2972.88, value=102000.0
    [iter 11530] reheat + diversify: ceiling=2675.60, value=50980.0
    [iter 17283] reheat + diversify: ceiling=2408.04, value=126968.0
    [iter 23036] reheat + diversify: ceiling=2167.23, value=90398.0
    [iter 28789] reheat + diversify: ceiling=1950.51, value=96199.0
    [iter 34542] reheat + diversify: ceiling=1755.46, value=96199.0
    [iter 40295] reheat + diversify: ceiling=1579.91, value=50980.0
    [iter 46048] reheat + diversify: ceiling=1421.92, value=50980.0
    [iter 51801] reheat + diversify: ceiling=1279.73, value=50980.0
    [iter 57554] reheat + diversify: ceiling=1151.76, value=45179.0
    [iter 63307] reheat + diversify: ceiling=1036.58, value=90398.0
    [iter 69060] reheat + diversify: ceiling=932.92, value=45179.0
    [iter 74813] reheat + diversify: ceiling=839.63, value=69265.0
    [iter 80566] reheat + diversify: ceiling=755.67, value=102000.0
    [iter 86319] reheat + diversify: ceiling=680.10, value=63464.0
    [iter 92072] reheat + diversify: ceiling=612.09, value=96199.0
    [iter 97825] reheat + diversify: ceiling=550.88, value=88533.0
    [iter 103578] reheat + diversify: ceiling=495.79, value=102000.0
    [iter 109331] reheat + diversify: ceiling=446.21, value=96199.0
    [iter 115084] reheat + diversify: ceiling=401.59, value=50980.0
    [iter 120837] reheat + diversify: ceiling=361.43, value=102000.0
    [iter 126590] reheat + diversify: ceiling=325.29, value=82732.0
    [iter 132343] reheat + diversify: ceiling=292.76, value=56781.0
    [iter 138096] reheat + diversify: ceiling=263.48, value=82732.0
    [iter 143849] reheat + diversify: ceiling=237.14, value=88533.0
    [iter 149602] reheat + diversify: ceiling=213.42, value=96199.0
    [iter 155355] reheat + diversify: ceiling=192.08, value=96199.0
    [iter 161108] reheat + diversify: ceiling=172.87, value=96199.0
    [iter 166861] reheat + diversify: ceiling=155.59, value=90398.0
    [iter 172614] reheat + diversify: ceiling=140.03, value=90398.0
    [iter 178367] reheat + diversify: ceiling=126.02, value=69265.0
    [iter 184120] reheat + diversify: ceiling=113.42, value=96199.0
    [iter 189873] reheat + diversify: ceiling=102.08, value=50980.0
    [iter 195626] reheat + diversify: ceiling=91.87, value=102000.0
