============================================================
  Solver:     3DMHKP-SA.py
  Instance:   /home/mcaspar/3DMHKP/Egeblad/ep3-20-C-C-50.txt
  Value mode: flat
  Timelimit:  900s
  Reports:    /home/mcaspar/3DMHKP/results_3DMHKP_ep3
  CPUs:       1
============================================================
======================================================================
3DMHKP Simulated Annealing (random single-neighbour, sequence decoder)
SA params: T0=5% of f(S_0), alpha=0.999, T_min=0.001, reheat_threshold=5753, reheat_fraction=0.25
Move weights: {'relocate': 0.0, 'swap': 1.0, '2opt': 0.0, 'promote': 1.5, 'demote': 1.5, 'orient': 1.0, 'container': 0.5}
Time limit: 900.0s per instance, seed 838946322
======================================================================

======================================================================
ep3-20-C-C-50: 20 boxes (5 types), 1 containers (1 types)
  0-1 knapsack bound: 125170.0 (continuous relaxation: 126214.6)
  initial (value-density) decode: value 56330.0 (10/20 boxes)
  T0 = 4169.3 (calibrated, 263 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 950.45 over 900s
    [iter 5] *** NEW BEST: value 65308.0, boxes 11/20, T=4168.9, elapsed=0.1s
    [iter 5758] reheat + diversify: ceiling=1042.32, value=65308.0
    [iter 11511] reheat + diversify: ceiling=938.09, value=65308.0
    [iter 17264] reheat + diversify: ceiling=844.28, value=51953.0
    [iter 23017] reheat + diversify: ceiling=759.85, value=52611.0
    [iter 28770] reheat + diversify: ceiling=683.87, value=65308.0
    [iter 34523] reheat + diversify: ceiling=615.48, value=65308.0
    [iter 40276] reheat + diversify: ceiling=553.93, value=52611.0
    [iter 46029] reheat + diversify: ceiling=498.54, value=51953.0
    [iter 51782] reheat + diversify: ceiling=448.68, value=51953.0
    [iter 57535] reheat + diversify: ceiling=403.82, value=47576.0
    [iter 63288] reheat + diversify: ceiling=363.43, value=51953.0
    [iter 69041] reheat + diversify: ceiling=327.09, value=51953.0
    [iter 74794] reheat + diversify: ceiling=294.38, value=65308.0
    [iter 80547] reheat + diversify: ceiling=264.94, value=65308.0
    [iter 86300] reheat + diversify: ceiling=238.45, value=48234.0
    [iter 92053] reheat + diversify: ceiling=214.60, value=48234.0
    [iter 97806] reheat + diversify: ceiling=193.14, value=52611.0
    [iter 103559] reheat + diversify: ceiling=173.83, value=65308.0
    [iter 109312] reheat + diversify: ceiling=156.45, value=65308.0
    [iter 115065] reheat + diversify: ceiling=140.80, value=51953.0
    [iter 120818] reheat + diversify: ceiling=126.72, value=51953.0
    [iter 126571] reheat + diversify: ceiling=114.05, value=52611.0
    [iter 132324] reheat + diversify: ceiling=102.64, value=39914.0
    [iter 138077] reheat + diversify: ceiling=92.38, value=51953.0
    [iter 143830] reheat + diversify: ceiling=83.14, value=51953.0
    [iter 149583] reheat + diversify: ceiling=74.83, value=47576.0
    [iter 155336] reheat + diversify: ceiling=67.35, value=65308.0
    [iter 161089] reheat + diversify: ceiling=60.61, value=48234.0
    [iter 166842] reheat + diversify: ceiling=54.55, value=65308.0
    [iter 172595] reheat + diversify: ceiling=49.09, value=51953.0
    [iter 178348] reheat + diversify: ceiling=44.19, value=65308.0
    [iter 184101] reheat + diversify: ceiling=39.77, value=65308.0
    [iter 189854] reheat + diversify: ceiling=35.79, value=65308.0
    [iter 195607] reheat + diversify: ceiling=32.21, value=51953.0
    [iter 201360] reheat + diversify: ceiling=28.99, value=48234.0
    [iter 207113] reheat + diversify: ceiling=26.09, value=52611.0
    [iter 212866] reheat + diversify: ceiling=23.48, value=65308.0
