============================================================
  Solver:     3DMHKP-SA.py
  Instance:   /home/mcaspar/3DMHKP/Egeblad/ep3-40-C-C-90.txt
  Value mode: flat
  Timelimit:  900s
  Reports:    /home/mcaspar/3DMHKP/results_3DMHKP_ep3
  CPUs:       1
============================================================
======================================================================
3DMHKP Simulated Annealing (random single-neighbour, sequence decoder)
SA params: T0=5% of f(S_0), alpha=0.999, T_min=0.001, reheat_threshold=5753, reheat_fraction=0.25
Move weights: {'relocate': 0.0, 'swap': 1.0, '2opt': 0.0, 'promote': 1.5, 'demote': 1.5, 'orient': 1.0, 'container': 0.5}
Time limit: 900.0s per instance, seed 455658016
======================================================================

======================================================================
ep3-40-C-C-90: 40 boxes (5 types), 1 containers (1 types)
  0-1 knapsack bound: 358993.0 (continuous relaxation: 359606.6)
  initial (value-density) decode: value 151275.0 (28/40 boxes)
  T0 = 29931.7 (calibrated, 358 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 6823.42 over 900s
    [iter 4] *** NEW BEST: value 209075.0, boxes 32/40, T=29914.5, elapsed=0.4s
    [iter 33] *** NEW BEST: value 243447.0, boxes 33/40, T=29914.0, elapsed=0.4s
    [iter 5786] reheat + diversify: ceiling=7482.93, value=238958.0
    [iter 11539] reheat + diversify: ceiling=6734.64, value=233486.0
    [iter 17292] reheat + diversify: ceiling=6061.18, value=223525.0
    [iter 23045] reheat + diversify: ceiling=5455.06, value=219036.0
    [iter 28798] reheat + diversify: ceiling=4909.55, value=233486.0
    [iter 34551] reheat + diversify: ceiling=4418.60, value=228997.0
    [iter 40304] reheat + diversify: ceiling=3976.74, value=233486.0
    [iter 46057] reheat + diversify: ceiling=3579.06, value=223525.0
    [iter 51810] reheat + diversify: ceiling=3221.16, value=233486.0
    [iter 57563] reheat + diversify: ceiling=2899.04, value=233486.0
    [iter 63316] reheat + diversify: ceiling=2609.14, value=233486.0
    [iter 69069] reheat + diversify: ceiling=2348.22, value=233486.0
    [iter 74822] reheat + diversify: ceiling=2113.40, value=243447.0
    [iter 80575] reheat + diversify: ceiling=1902.06, value=243447.0
    [iter 86328] reheat + diversify: ceiling=1711.86, value=228997.0
    [iter 92081] reheat + diversify: ceiling=1540.67, value=228997.0
    [iter 97834] reheat + diversify: ceiling=1386.60, value=209075.0
    [iter 103587] reheat + diversify: ceiling=1247.94, value=233486.0
    [iter 109340] reheat + diversify: ceiling=1123.15, value=223525.0
    [iter 115093] reheat + diversify: ceiling=1010.83, value=223525.0
    [iter 120846] reheat + diversify: ceiling=909.75, value=228997.0
    [iter 126599] reheat + diversify: ceiling=818.78, value=228997.0
    [iter 132352] reheat + diversify: ceiling=736.90, value=233486.0
    [iter 138105] reheat + diversify: ceiling=663.21, value=223525.0
    [iter 143858] reheat + diversify: ceiling=596.89, value=233486.0
    [iter 149611] reheat + diversify: ceiling=537.20, value=243447.0
    [iter 155364] reheat + diversify: ceiling=483.48, value=243447.0
    [iter 161117] reheat + diversify: ceiling=435.13, value=233486.0
    [iter 166870] reheat + diversify: ceiling=391.62, value=223525.0
    [iter 172623] reheat + diversify: ceiling=352.46, value=209075.0
    [iter 178376] reheat + diversify: ceiling=317.21, value=233486.0
    [iter 184129] reheat + diversify: ceiling=285.49, value=243447.0
    [iter 189882] reheat + diversify: ceiling=256.94, value=243447.0
    [iter 195635] reheat + diversify: ceiling=231.25, value=233486.0
    [iter 201388] reheat + diversify: ceiling=208.12, value=243447.0
