============================================================
  Solver:     3DMHKP-SA.py
  Instance:   /home/mcaspar/3DMHKP/Egeblad/ep3-40-C-C-90.txt
  Value mode: flat
  Timelimit:  300s
  Reports:    /home/mcaspar/3DMHKP/results_3DMHKP_ep3
  CPUs:       1
============================================================
======================================================================
3DMHKP Simulated Annealing (random single-neighbour, sequence decoder)
SA params: T0=5% of f(S_0), alpha=0.999, T_min=0.001, reheat_threshold=5753, reheat_fraction=0.25
Move weights: {'relocate': 0.0, 'swap': 1.0, '2opt': 0.0, 'promote': 1.5, 'demote': 1.5, 'orient': 1.0, 'container': 0.5}
Time limit: 300.0s per instance, seed 368074844
======================================================================

======================================================================
ep3-40-C-C-90: 40 boxes (5 types), 1 containers (1 types)
  0-1 knapsack bound: 358993.0 (continuous relaxation: 359606.6)
  initial (value-density) decode: value 151275.0 (28/40 boxes)
  T0 = 29931.7 (calibrated, 326 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 6823.42 over 300s
    [iter 7] *** NEW BEST: value 185647.0, boxes 29/40, T=29878.8, elapsed=0.4s
    [iter 19] *** NEW BEST: value 195608.0, boxes 29/40, T=29878.2, elapsed=0.4s
    [iter 32] *** NEW BEST: value 209075.0, boxes 32/40, T=29877.7, elapsed=0.4s
    [iter 47] *** NEW BEST: value 215530.0, boxes 29/40, T=29876.9, elapsed=0.4s
    [iter 48] *** NEW BEST: value 233486.0, boxes 33/40, T=29876.9, elapsed=0.4s
    [iter 57] *** NEW BEST: value 243447.0, boxes 33/40, T=29876.4, elapsed=0.4s
    [iter 5810] reheat + diversify: ceiling=7482.93, value=243447.0
    [iter 11563] reheat + diversify: ceiling=6734.64, value=233486.0
    [iter 17316] reheat + diversify: ceiling=6061.18, value=233486.0
    [iter 23069] reheat + diversify: ceiling=5455.06, value=219036.0
    [iter 28822] reheat + diversify: ceiling=4909.55, value=209075.0
    [iter 34575] reheat + diversify: ceiling=4418.60, value=233486.0
    [iter 40328] reheat + diversify: ceiling=3976.74, value=233486.0
    [iter 46081] reheat + diversify: ceiling=3579.06, value=243447.0
    [iter 51834] reheat + diversify: ceiling=3221.16, value=233486.0
    [iter 57587] reheat + diversify: ceiling=2899.04, value=197578.0
    [iter 63340] reheat + diversify: ceiling=2609.14, value=233486.0
    [iter 69093] reheat + diversify: ceiling=2348.22, value=233486.0
    [iter 74846] reheat + diversify: ceiling=2113.40, value=243447.0
    [iter 80599] reheat + diversify: ceiling=1902.06, value=219036.0
    [iter 86352] reheat + diversify: ceiling=1711.86, value=223525.0
    [iter 92105] reheat + diversify: ceiling=1540.67, value=233486.0
    [iter 97858] reheat + diversify: ceiling=1386.60, value=228997.0
    [iter 103611] reheat + diversify: ceiling=1247.94, value=223525.0
    [iter 109364] reheat + diversify: ceiling=1123.15, value=237975.0
    [iter 115117] reheat + diversify: ceiling=1010.83, value=238958.0
    [iter 120870] reheat + diversify: ceiling=909.75, value=233486.0
    [iter 126623] reheat + diversify: ceiling=818.78, value=228997.0
    [iter 132376] reheat + diversify: ceiling=736.90, value=238958.0
    [iter 138129] reheat + diversify: ceiling=663.21, value=233486.0
    [iter 143882] reheat + diversify: ceiling=596.89, value=223525.0
    [iter 149635] reheat + diversify: ceiling=537.20, value=223525.0
    [iter 155388] reheat + diversify: ceiling=483.48, value=233486.0
    [iter 161141] reheat + diversify: ceiling=435.13, value=223525.0
    [iter 166894] reheat + diversify: ceiling=391.62, value=237975.0
