============================================================
  Solver:     3DMHKP-SA.py
  Instance:   /home/mcaspar/3DMHKP/Egeblad/ep3-20-C-C-90.txt
  Value mode: flat
  Timelimit:  300s
  Reports:    /home/mcaspar/3DMHKP/results_3DMHKP_ep3
  CPUs:       1
============================================================
======================================================================
3DMHKP Simulated Annealing (random single-neighbour, sequence decoder)
SA params: T0=5% of f(S_0), alpha=0.999, T_min=0.001, reheat_threshold=5753, reheat_fraction=0.25
Move weights: {'relocate': 0.0, 'swap': 1.0, '2opt': 0.0, 'promote': 1.5, 'demote': 1.5, 'orient': 1.0, 'container': 0.5}
Time limit: 300.0s per instance, seed 332145414
======================================================================

======================================================================
ep3-20-C-C-90: 20 boxes (5 types), 1 containers (1 types)
  0-1 knapsack bound: 155222.0 (continuous relaxation: 156253.7)
  initial (value-density) decode: value 59978.0 (13/20 boxes)
  T0 = 13764.2 (calibrated, 215 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 3137.78 over 300s
    [iter 10] *** NEW BEST: value 65450.0, boxes 13/20, T=13758.5, elapsed=0.1s
    [iter 14] *** NEW BEST: value 68298.0, boxes 13/20, T=13758.5, elapsed=0.1s
    [iter 18] *** NEW BEST: value 71146.0, boxes 13/20, T=13758.4, elapsed=0.1s
    [iter 22] *** NEW BEST: value 77276.0, boxes 14/20, T=13758.4, elapsed=0.1s
    [iter 310] *** NEW BEST: value 80124.0, boxes 14/20, T=13757.3, elapsed=0.1s
    [iter 6063] reheat + diversify: ceiling=3441.06, value=71146.0
    [iter 11816] reheat + diversify: ceiling=3096.95, value=77276.0
    [iter 17569] reheat + diversify: ceiling=2787.26, value=80124.0
    [iter 23322] reheat + diversify: ceiling=2508.53, value=58662.0
    [iter 29075] reheat + diversify: ceiling=2257.68, value=80124.0
    [iter 34828] reheat + diversify: ceiling=2031.91, value=77276.0
    [iter 40581] reheat + diversify: ceiling=1828.72, value=55814.0
    [iter 46334] reheat + diversify: ceiling=1645.85, value=55814.0
    [iter 52087] reheat + diversify: ceiling=1481.26, value=52966.0
    [iter 57840] reheat + diversify: ceiling=1333.14, value=77276.0
    [iter 63593] reheat + diversify: ceiling=1199.82, value=55814.0
    [iter 69346] reheat + diversify: ceiling=1079.84, value=74428.0
    [iter 75099] reheat + diversify: ceiling=971.86, value=55814.0
    [iter 80852] reheat + diversify: ceiling=874.67, value=74428.0
    [iter 86605] reheat + diversify: ceiling=787.20, value=68298.0
    [iter 92358] reheat + diversify: ceiling=708.48, value=61510.0
    [iter 98111] reheat + diversify: ceiling=637.64, value=74428.0
    [iter 103864] reheat + diversify: ceiling=573.87, value=58662.0
    [iter 109617] reheat + diversify: ceiling=516.48, value=58662.0
    [iter 115370] reheat + diversify: ceiling=464.84, value=80124.0
    [iter 121123] reheat + diversify: ceiling=418.35, value=80124.0
    [iter 126876] reheat + diversify: ceiling=376.52, value=52966.0
    [iter 132629] reheat + diversify: ceiling=338.87, value=80124.0
    [iter 138382] reheat + diversify: ceiling=304.98, value=59320.0
    [iter 144135] reheat + diversify: ceiling=274.48, value=58662.0
    [iter 149888] reheat + diversify: ceiling=247.03, value=68298.0
    [iter 155641] reheat + diversify: ceiling=222.33, value=55814.0
    [iter 161394] reheat + diversify: ceiling=200.10, value=59320.0
    [iter 167147] reheat + diversify: ceiling=180.09, value=55814.0
    [iter 172900] reheat + diversify: ceiling=162.08, value=77276.0
    [iter 178653] reheat + diversify: ceiling=145.87, value=74428.0
