============================================================
  Solver:     3DMHKP-SA.py
  Instance:   /home/mcaspar/3DMHKP/Egeblad/ep3-20-C-C-90.txt
  Value mode: flat
  Timelimit:  900s
  Reports:    /home/mcaspar/3DMHKP/results_3DMHKP_ep3
  CPUs:       1
============================================================
======================================================================
3DMHKP Simulated Annealing (random single-neighbour, sequence decoder)
SA params: T0=5% of f(S_0), alpha=0.999, T_min=0.001, reheat_threshold=5753, reheat_fraction=0.25
Move weights: {'relocate': 0.0, 'swap': 1.0, '2opt': 0.0, 'promote': 1.5, 'demote': 1.5, 'orient': 1.0, 'container': 0.5}
Time limit: 900.0s per instance, seed 1747983496
======================================================================

======================================================================
ep3-20-C-C-90: 20 boxes (5 types), 1 containers (1 types)
  0-1 knapsack bound: 155222.0 (continuous relaxation: 156253.7)
  initial (value-density) decode: value 59978.0 (13/20 boxes)
  T0 = 13764.2 (calibrated, 228 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 3137.78 over 900s
    [iter 1] *** NEW BEST: value 62826.0, boxes 13/20, T=13764.2, elapsed=0.1s
    [iter 13] *** NEW BEST: value 74428.0, boxes 14/20, T=13762.3, elapsed=0.1s
    [iter 59] *** NEW BEST: value 77276.0, boxes 14/20, T=13762.3, elapsed=0.1s
    [iter 144] *** NEW BEST: value 80124.0, boxes 14/20, T=13762.1, elapsed=0.1s
    [iter 5897] reheat + diversify: ceiling=3441.06, value=77276.0
    [iter 11650] reheat + diversify: ceiling=3096.95, value=55814.0
    [iter 17403] reheat + diversify: ceiling=2787.26, value=55814.0
    [iter 23156] reheat + diversify: ceiling=2508.53, value=74428.0
    [iter 28909] reheat + diversify: ceiling=2257.68, value=58662.0
    [iter 34662] reheat + diversify: ceiling=2031.91, value=77276.0
    [iter 40415] reheat + diversify: ceiling=1828.72, value=71146.0
    [iter 46168] reheat + diversify: ceiling=1645.85, value=59320.0
    [iter 51921] reheat + diversify: ceiling=1481.26, value=55814.0
    [iter 57674] reheat + diversify: ceiling=1333.14, value=80124.0
    [iter 63427] reheat + diversify: ceiling=1199.82, value=77276.0
    [iter 69180] reheat + diversify: ceiling=1079.84, value=55814.0
    [iter 74933] reheat + diversify: ceiling=971.86, value=58662.0
    [iter 80686] reheat + diversify: ceiling=874.67, value=59320.0
    [iter 86439] reheat + diversify: ceiling=787.20, value=58662.0
    [iter 92192] reheat + diversify: ceiling=708.48, value=77276.0
    [iter 97945] reheat + diversify: ceiling=637.64, value=77276.0
    [iter 103698] reheat + diversify: ceiling=573.87, value=77276.0
    [iter 109451] reheat + diversify: ceiling=516.48, value=77276.0
    [iter 115204] reheat + diversify: ceiling=464.84, value=77276.0
    [iter 120957] reheat + diversify: ceiling=418.35, value=77276.0
    [iter 126710] reheat + diversify: ceiling=376.52, value=58662.0
    [iter 132463] reheat + diversify: ceiling=338.87, value=68298.0
    [iter 138216] reheat + diversify: ceiling=304.98, value=55814.0
    [iter 143969] reheat + diversify: ceiling=274.48, value=58662.0
    [iter 149722] reheat + diversify: ceiling=247.03, value=58662.0
    [iter 155475] reheat + diversify: ceiling=222.33, value=55814.0
    [iter 161228] reheat + diversify: ceiling=200.10, value=65450.0
    [iter 166981] reheat + diversify: ceiling=180.09, value=58662.0
    [iter 172734] reheat + diversify: ceiling=162.08, value=71146.0
    [iter 178487] reheat + diversify: ceiling=145.87, value=80124.0
    [iter 184240] reheat + diversify: ceiling=131.28, value=77276.0
