# Bischoff & Ratcliff container-loading instance BR16-52, converted from
# BR/BR16/52.json (kcliu2/CLP-Datasets on GitHub).
# Source: Liu, C., Smith-Miles, K., Wauters, T. & Costa, A.M. (2025), Computers & Operations Research 182:107111.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 125 (110 distinct types)
# Total profit if all packed: 29803774
# Total box volume: 29803774   Container volume: 30089620   (ratio 0.991)

BOXES
1 1 96 72 31 1
2 1 75 72 47 1
3 1 80 25 20 1
4 3 114 94 61 1
5 1 100 40 39 1
6 1 72 51 48 1
7 1 36 28 24 1
8 1 85 58 35 1
9 1 85 84 58 1
10 2 95 48 24 1
11 1 115 70 25 1
12 1 108 49 42 1
13 1 73 64 26 1
14 1 68 54 35 1
15 1 83 62 60 1
16 1 57 56 43 1
17 2 101 57 56 1
18 1 56 48 42 1
19 1 93 55 38 1
20 1 53 53 53 1
21 2 85 83 63 1
22 1 61 46 41 1
23 2 89 79 33 1
24 1 100 85 71 1
25 1 114 97 71 1
26 1 66 50 45 1
27 1 82 59 34 1
28 1 69 62 44 1
29 1 69 68 64 1
30 1 57 56 50 1
31 1 95 42 30 1
32 1 99 70 48 1
33 2 85 82 25 1
34 1 56 51 43 1
35 1 82 51 32 1
36 1 97 88 66 1
37 1 70 56 29 1
38 1 86 85 72 1
39 2 78 41 37 1
40 1 78 64 61 1
41 1 77 72 49 1
42 1 91 80 45 1
43 1 62 40 26 1
44 1 98 77 47 1
45 1 106 70 67 1
46 2 98 66 66 1
47 1 69 65 36 1
48 1 119 61 29 1
49 1 61 37 22 1
50 1 72 69 42 1
51 1 83 51 29 1
52 1 81 80 79 1
53 1 74 55 34 1
54 1 37 31 26 1
55 1 93 41 35 1
56 1 118 94 76 1
57 1 102 87 50 1
58 1 62 45 43 1
59 1 112 95 33 1
60 1 46 39 35 1
61 1 100 61 40 1
62 1 70 53 26 1
63 1 100 80 75 1
64 1 99 75 56 1
65 1 120 69 24 1
66 1 98 77 61 1
67 1 92 69 52 1
68 1 82 76 35 1
69 1 47 38 38 1
70 1 110 62 32 1
71 1 44 35 28 1
72 1 73 53 38 1
73 1 84 62 49 1
74 1 97 78 37 1
75 1 74 49 30 1
76 2 61 55 30 1
77 1 72 46 28 1
78 1 42 31 27 1
79 1 100 75 46 1
80 1 65 62 35 1
81 1 43 41 39 1
82 2 108 49 24 1
83 1 116 73 63 1
84 1 91 91 32 1
85 1 73 43 34 1
86 1 85 74 21 1
87 1 71 41 32 1
88 1 96 85 34 1
89 1 76 65 57 1
90 1 57 51 51 1
91 1 103 72 45 1
92 1 74 35 30 1
93 1 78 37 33 1
94 1 57 50 38 1
95 1 99 55 50 1
96 1 66 58 42 1
97 1 82 78 66 1
98 1 48 43 20 1
99 1 110 62 27 1
100 2 50 47 30 1
101 1 72 52 44 1
102 1 115 66 31 1
103 1 93 71 30 1
104 1 53 37 31 1
105 2 83 69 65 1
106 1 55 50 47 1
107 1 120 43 30 1
108 2 94 53 36 1
109 2 98 63 59 1
110 1 93 67 49 1
CONTAINERS
1 1 587 220 233
