# Bischoff & Ratcliff container-loading instance BR16-35, converted from
# BR/BR16/35.json (kcliu2/CLP-Datasets on GitHub).
# Source: Liu, C., Smith-Miles, K., Wauters, T. & Costa, A.M. (2025), Computers & Operations Research 182:107111.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 124 (110 distinct types)
# Total profit if all packed: 29862917
# Total box volume: 29862917   Container volume: 30089620   (ratio 0.992)

BOXES
1 1 100 33 31 1
2 1 84 68 42 1
3 1 95 84 31 1
4 1 57 39 30 1
5 3 76 71 60 1
6 2 71 68 46 1
7 1 109 51 26 1
8 1 109 54 45 1
9 1 84 55 29 1
10 2 104 66 20 1
11 1 119 76 39 1
12 1 75 74 43 1
13 1 84 36 26 1
14 1 77 45 32 1
15 1 75 57 42 1
16 1 51 50 42 1
17 1 63 59 41 1
18 1 71 70 34 1
19 1 74 71 66 1
20 1 38 31 30 1
21 1 80 67 60 1
22 1 93 73 27 1
23 1 78 63 44 1
24 1 68 64 63 1
25 1 116 70 69 1
26 1 120 77 53 1
27 1 75 67 32 1
28 1 90 67 28 1
29 1 73 57 36 1
30 2 95 62 47 1
31 1 95 75 60 1
32 1 75 59 55 1
33 2 77 68 52 1
34 1 104 48 38 1
35 1 78 69 63 1
36 1 55 42 25 1
37 1 55 49 28 1
38 2 103 79 54 1
39 1 69 60 52 1
40 1 98 92 75 1
41 1 60 43 34 1
42 1 110 100 72 1
43 1 80 77 74 1
44 1 66 54 33 1
45 1 81 65 29 1
46 1 91 75 46 1
47 1 104 45 28 1
48 1 54 42 40 1
49 1 80 62 58 1
50 1 86 58 30 1
51 2 112 88 39 1
52 1 63 32 27 1
53 1 120 72 41 1
54 2 100 74 61 1
55 1 62 53 37 1
56 1 111 79 34 1
57 1 85 70 38 1
58 1 53 52 46 1
59 1 75 39 25 1
60 1 111 99 78 1
61 1 86 60 52 1
62 2 67 31 20 1
63 1 71 30 22 1
64 1 79 57 29 1
65 1 106 76 30 1
66 1 113 89 44 1
67 1 84 28 26 1
68 1 68 42 30 1
69 1 78 61 24 1
70 1 100 68 65 1
71 1 103 67 66 1
72 1 89 67 26 1
73 1 58 47 34 1
74 1 78 72 35 1
75 1 101 74 58 1
76 2 76 69 40 1
77 1 78 69 55 1
78 1 74 42 23 1
79 1 67 56 45 1
80 2 78 51 48 1
81 1 77 61 40 1
82 1 79 77 65 1
83 1 94 76 67 1
84 2 99 78 44 1
85 1 77 59 55 1
86 1 80 49 43 1
87 1 89 61 32 1
88 1 112 54 28 1
89 1 94 87 77 1
90 1 96 71 37 1
91 2 54 39 35 1
92 1 82 75 63 1
93 1 45 40 34 1
94 1 66 42 41 1
95 1 54 43 41 1
96 1 85 56 42 1
97 1 74 46 40 1
98 1 43 34 30 1
99 1 115 67 29 1
100 1 72 68 37 1
101 1 101 97 32 1
102 1 74 62 61 1
103 1 105 67 27 1
104 1 109 71 54 1
105 1 61 57 53 1
106 1 98 59 30 1
107 1 73 52 41 1
108 1 109 84 56 1
109 1 96 71 39 1
110 1 51 45 26 1
CONTAINERS
1 1 587 220 233
