# Egeblad & Pisinger ep3 instance ep3-60-F-R-50, converted from ep3-60-F-R-50.3kp
# Source: Egeblad, J. & Pisinger, D. (2009), "Heuristic approaches for
# the two- and three-dimensional knapsack packing problem",
# Computers & Operations Research 36(4):1026-1049. Data set kp2d3d-data/ep3.
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column holds the ORIGINAL ep3 profit p of the box,
# not a per-volume coefficient: ep3 profits are not proportional to volume.
# Run these instances with --value-mode flat so that value = coefficient.
# Under the default --value-mode volume the objective would be p * volume,
# which is NOT the ep3 objective. The solvers read the machine-readable
# declaration below and warn if run with the wrong mode.
#! value-mode: flat
#
# Boxes: 60 (60 distinct types)
# Total profit if all packed: 658960
# Total box volume: 13745921   Container volume: 6772500   (ratio 2.030)

BOXES
1 1 69 76 31 10488
2 1 57 70 47 3990
3 1 95 50 51 4750
4 1 82 58 32 14268
5 1 95 89 55 16910
6 1 68 53 26 3604
7 1 75 58 27 4350
8 1 98 64 50 18816
9 1 75 55 35 12375
10 1 99 67 34 6633
11 1 57 62 60 7068
12 1 70 89 57 6230
13 1 89 63 49 16821
14 1 53 91 57 4823
15 1 92 68 43 12512
16 1 100 51 27 5100
17 1 94 67 51 12596
18 1 67 52 39 10452
19 1 53 95 37 10070
20 1 58 82 60 9512
21 1 95 80 27 7600
22 1 51 81 27 8262
23 1 72 74 43 10656
24 1 85 91 36 7735
25 1 64 58 36 7424
26 1 73 60 38 13140
27 1 69 58 26 12006
28 1 89 85 37 15130
29 1 78 54 25 8424
30 1 73 58 42 8468
31 1 90 91 29 16380
32 1 60 61 44 10980
33 1 71 57 43 8094
34 1 63 83 46 15687
35 1 80 56 44 8960
36 1 80 91 60 21840
37 1 98 84 43 24696
38 1 76 64 54 4864
39 1 62 86 51 15996
40 1 97 100 50 29100
41 1 79 92 46 21804
42 1 100 85 25 8500
43 1 75 64 35 14400
44 1 68 63 32 4284
45 1 84 57 34 4788
46 1 82 96 44 23616
47 1 64 62 53 11904
48 1 83 77 38 12782
49 1 75 79 54 11850
50 1 95 51 50 14535
51 1 90 99 42 17820
52 1 80 55 56 4400
53 1 55 95 38 10450
54 1 74 74 58 5476
55 1 57 57 54 6498
56 1 70 75 37 10500
57 1 53 92 45 4876
58 1 75 54 25 12150
59 1 57 71 37 4047
60 1 90 83 30 7470

CONTAINERS
1 1 150 150 301
