# Egeblad & Pisinger ep3 instance ep3-20-L-R-50, converted from ep3-20-L-R-50.3kp
# Source: Egeblad, J. & Pisinger, D. (2009), "Heuristic approaches for
# the two- and three-dimensional knapsack packing problem",
# Computers & Operations Research 36(4):1026-1049. Data set kp2d3d-data/ep3.
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column holds the ORIGINAL ep3 profit p of the box,
# not a per-volume coefficient: ep3 profits are not proportional to volume.
# Run these instances with --value-mode flat so that value = coefficient.
# Under the default --value-mode volume the objective would be p * volume,
# which is NOT the ep3 objective. The solvers read the machine-readable
# declaration below and warn if run with the wrong mode.
#! value-mode: flat
#
# Boxes: 20 (20 distinct types)
# Total profit if all packed: 45807
# Total box volume: 1848045   Container volume: 913066   (ratio 2.024)

BOXES
1 1 64 14 99 896
2 1 29 66 62 5742
3 1 43 57 57 2451
4 1 27 23 56 621
5 1 26 51 99 2652
6 1 60 65 82 11700
7 1 11 64 99 1408
8 1 14 52 54 2184
9 1 54 5 52 540
10 1 63 42 79 2646
11 1 16 21 73 672
12 1 30 22 83 1320
13 1 19 59 100 3363
14 1 62 10 91 620
15 1 38 19 97 1444
16 1 66 11 94 726
17 1 47 45 80 4230
18 1 45 16 53 1440
19 1 8 28 56 224
20 1 16 58 83 928

CONTAINERS
1 1 77 77 154
