# Egeblad & Pisinger ep3 instance ep3-60-D-R-90, converted from ep3-60-D-R-90.3kp
# Source: Egeblad, J. & Pisinger, D. (2009), "Heuristic approaches for
# the two- and three-dimensional knapsack packing problem",
# Computers & Operations Research 36(4):1026-1049. Data set kp2d3d-data/ep3.
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column holds the ORIGINAL ep3 profit p of the box,
# not a per-volume coefficient: ep3 profits are not proportional to volume.
# Run these instances with --value-mode flat so that value = coefficient.
# Under the default --value-mode volume the objective would be p * volume,
# which is NOT the ep3 objective. The solvers read the machine-readable
# declaration below and warn if run with the wrong mode.
#! value-mode: flat
#
# Boxes: 60 (60 distinct types)
# Total profit if all packed: 75993
# Total box volume: 1238159   Container volume: 1102736   (ratio 1.123)

BOXES
1 1 30 1 19 90
2 1 48 36 35 1728
3 1 36 40 41 4320
4 1 50 39 39 3900
5 1 22 14 50 924
6 1 11 13 49 143
7 1 38 21 46 798
8 1 38 4 2 304
9 1 3 30 21 270
10 1 19 13 6 247
11 1 41 17 31 697
12 1 21 28 45 588
13 1 20 48 43 960
14 1 40 43 39 3440
15 1 34 15 14 510
16 1 31 25 39 2325
17 1 24 27 25 648
18 1 47 28 47 3948
19 1 27 12 40 324
20 1 50 20 19 3000
21 1 7 35 39 490
22 1 24 34 42 2448
23 1 15 6 36 90
24 1 24 16 25 768
25 1 24 22 16 528
26 1 46 16 39 736
27 1 31 19 37 1767
28 1 30 28 50 2520
29 1 12 9 2 108
30 1 31 11 1 341
31 1 25 16 5 400
32 1 8 49 48 392
33 1 29 2 37 174
34 1 2 36 18 216
35 1 33 21 35 1386
36 1 37 34 26 1258
37 1 20 44 22 880
38 1 33 44 34 1452
39 1 11 42 33 924
40 1 29 38 19 1102
41 1 36 49 1 5292
42 1 41 22 25 2706
43 1 1 30 37 90
44 1 23 7 42 483
45 1 1 39 15 78
46 1 20 17 24 680
47 1 2 34 34 136
48 1 5 48 41 480
49 1 41 27 35 3321
50 1 11 28 29 924
51 1 48 46 50 6624
52 1 20 12 15 240
53 1 33 47 47 1551
54 1 14 25 3 1050
55 1 13 12 28 312
56 1 34 7 27 238
57 1 10 47 8 1410
58 1 35 3 39 210
59 1 15 44 2 1980
60 1 18 29 43 1044

CONTAINERS
1 1 82 82 164
