# Egeblad & Pisinger ep3 instance ep3-40-D-R-50, converted from ep3-40-D-R-50.3kp
# Source: Egeblad, J. & Pisinger, D. (2009), "Heuristic approaches for
# the two- and three-dimensional knapsack packing problem",
# Computers & Operations Research 36(4):1026-1049. Data set kp2d3d-data/ep3.
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column holds the ORIGINAL ep3 profit p of the box,
# not a per-volume coefficient: ep3 profits are not proportional to volume.
# Run these instances with --value-mode flat so that value = coefficient.
# Under the default --value-mode volume the objective would be p * volume,
# which is NOT the ep3 objective. The solvers read the machine-readable
# declaration below and warn if run with the wrong mode.
#! value-mode: flat
#
# Boxes: 40 (40 distinct types)
# Total profit if all packed: 52223
# Total box volume: 907037   Container volume: 435600   (ratio 2.082)

BOXES
1 1 30 1 19 30
2 1 48 36 35 3456
3 1 36 40 41 1440
4 1 50 39 39 1950
5 1 22 14 50 616
6 1 11 13 49 143
7 1 38 21 46 2394
8 1 38 4 2 304
9 1 3 30 21 90
10 1 19 13 6 494
11 1 41 17 31 2091
12 1 21 28 45 588
13 1 20 48 43 2880
14 1 40 43 39 3440
15 1 34 15 14 510
16 1 31 25 39 1550
17 1 24 27 25 1296
18 1 47 28 47 3948
19 1 27 12 40 324
20 1 50 20 19 1000
21 1 7 35 39 490
22 1 24 34 42 2448
23 1 15 6 36 180
24 1 24 16 25 768
25 1 24 22 16 528
26 1 46 16 39 736
27 1 31 19 37 1767
28 1 30 28 50 2520
29 1 12 9 2 324
30 1 31 11 1 341
31 1 25 16 5 1200
32 1 8 49 48 392
33 1 29 2 37 116
34 1 2 36 18 144
35 1 33 21 35 693
36 1 37 34 26 1258
37 1 20 44 22 2640
38 1 33 44 34 2904
39 1 11 42 33 924
40 1 29 38 19 3306

CONTAINERS
1 1 60 60 121
