# Egeblad & Pisinger ep3 instance ep3-40-U-R-50, converted from ep3-40-U-R-50.3kp
# Source: Egeblad, J. & Pisinger, D. (2009), "Heuristic approaches for
# the two- and three-dimensional knapsack packing problem",
# Computers & Operations Research 36(4):1026-1049. Data set kp2d3d-data/ep3.
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column holds the ORIGINAL ep3 profit p of the box,
# not a per-volume coefficient: ep3 profits are not proportional to volume.
# Run these instances with --value-mode flat so that value = coefficient.
# Under the default --value-mode volume the objective would be p * volume,
# which is NOT the ep3 objective. The solvers read the machine-readable
# declaration below and warn if run with the wrong mode.
#! value-mode: flat
#
# Boxes: 40 (40 distinct types)
# Total profit if all packed: 398530
# Total box volume: 17837007   Container volume: 8848784   (ratio 2.016)

BOXES
1 1 99 50 98 14850
2 1 68 83 83 11288
3 1 59 85 59 5015
4 1 53 83 77 8798
5 1 65 68 87 8840
6 1 51 83 97 4233
7 1 54 77 58 4158
8 1 67 100 97 20100
9 1 64 94 86 18048
10 1 93 80 80 7440
11 1 81 62 52 5022
12 1 67 83 69 16683
13 1 54 86 97 4644
14 1 95 75 77 7125
15 1 96 50 78 4800
16 1 67 74 67 9916
17 1 98 97 74 9506
18 1 75 77 81 5775
19 1 96 89 51 25632
20 1 59 57 86 6726
21 1 58 57 76 6612
22 1 82 64 81 10496
23 1 95 75 91 14250
24 1 64 70 94 4480
25 1 87 84 60 14616
26 1 70 93 89 13020
27 1 87 83 98 7221
28 1 50 68 80 6800
29 1 90 74 85 13320
30 1 99 60 74 17820
31 1 57 84 65 9576
32 1 72 63 71 4536
33 1 86 99 93 25542
34 1 63 83 81 5229
35 1 79 51 53 4029
36 1 70 69 72 4830
37 1 69 86 93 5934
38 1 92 80 96 14720
39 1 85 52 79 4420
40 1 96 65 70 12480

CONTAINERS
1 1 164 164 329
