# Egeblad & Pisinger ep3 instance ep3-40-C-R-90, converted from ep3-40-C-R-90.3kp
# Source: Egeblad, J. & Pisinger, D. (2009), "Heuristic approaches for
# the two- and three-dimensional knapsack packing problem",
# Computers & Operations Research 36(4):1026-1049. Data set kp2d3d-data/ep3.
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column holds the ORIGINAL ep3 profit p of the box,
# not a per-volume coefficient: ep3 profits are not proportional to volume.
# Run these instances with --value-mode flat so that value = coefficient.
# Under the default --value-mode volume the objective would be p * volume,
# which is NOT the ep3 objective. The solvers read the machine-readable
# declaration below and warn if run with the wrong mode.
#! value-mode: flat
#
# Boxes: 40 (35 distinct types)
# Total profit if all packed: 259857
# Total box volume: 11326876   Container volume: 10176896   (ratio 1.113)

BOXES
1 1 29 29 29 2523
2 1 67 67 67 8978
3 1 85 85 85 14450
4 2 93 93 93 8649
5 1 19 19 19 1083
6 1 7 7 7 49
7 1 2 2 2 12
8 1 88 88 88 15488
9 1 59 59 59 10443
10 1 9 9 9 81
11 2 52 52 52 8112
12 2 84 84 84 7056
13 2 61 61 61 3721
14 1 81 81 81 13122
15 1 16 16 16 768
16 1 84 84 84 21168
17 1 92 92 92 25392
18 1 12 12 12 432
19 1 15 15 15 225
20 1 25 25 25 1250
21 1 4 4 4 48
22 1 36 36 36 1296
23 1 39 39 39 3042
24 1 87 87 87 7569
25 1 80 80 80 19200
26 1 32 32 32 1024
27 1 58 58 58 3364
28 1 13 13 13 169
29 1 46 46 46 2116
30 2 32 32 32 2048
31 1 80 80 80 6400
32 1 73 73 73 5329
33 1 88 88 88 23232
34 1 38 38 38 4332
35 1 90 90 90 8100

CONTAINERS
1 1 172 172 344
