# Egeblad & Pisinger ep3 instance ep3-60-C-R-90, converted from ep3-60-C-R-90.3kp
# Source: Egeblad, J. & Pisinger, D. (2009), "Heuristic approaches for
# the two- and three-dimensional knapsack packing problem",
# Computers & Operations Research 36(4):1026-1049. Data set kp2d3d-data/ep3.
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column holds the ORIGINAL ep3 profit p of the box,
# not a per-volume coefficient: ep3 profits are not proportional to volume.
# Run these instances with --value-mode flat so that value = coefficient.
# Under the default --value-mode volume the objective would be p * volume,
# which is NOT the ep3 objective. The solvers read the machine-readable
# declaration below and warn if run with the wrong mode.
#! value-mode: flat
#
# Boxes: 60 (54 distinct types)
# Total profit if all packed: 445726
# Total box volume: 16810140   Container volume: 15059072   (ratio 1.116)

BOXES
1 1 29 29 29 841
2 1 67 67 67 8978
3 1 85 85 85 14450
4 1 93 93 93 25947
5 1 19 19 19 722
6 1 7 7 7 98
7 1 2 2 2 8
8 1 88 88 88 23232
9 1 59 59 59 3481
10 1 9 9 9 81
11 1 52 52 52 5408
12 1 84 84 84 21168
13 1 61 61 61 11163
14 1 81 81 81 19683
15 1 93 93 93 8649
16 1 16 16 16 256
17 1 84 84 84 7056
18 1 92 92 92 16928
19 1 12 12 12 144
20 1 15 15 15 675
21 1 61 61 61 3721
22 3 25 25 25 1250
23 1 4 4 4 32
24 1 36 36 36 2592
25 1 39 39 39 3042
26 1 87 87 87 22707
27 2 80 80 80 12800
28 3 32 32 32 1024
29 1 52 52 52 2704
30 1 58 58 58 3364
31 1 13 13 13 169
32 1 46 46 46 4232
33 1 32 32 32 2048
34 1 84 84 84 14112
35 1 80 80 80 6400
36 1 73 73 73 5329
37 1 88 88 88 15488
38 1 38 38 38 4332
39 1 90 90 90 24300
40 1 51 51 51 7803
41 1 81 81 81 6561
42 1 14 14 14 196
43 1 45 45 45 4050
44 1 100 100 100 10000
45 1 43 43 43 3698
46 2 92 92 92 25392
47 1 54 54 54 8748
48 1 26 26 26 2028
49 1 20 20 20 1200
50 1 71 71 71 5041
51 1 99 99 99 29403
52 1 3 3 3 27
53 1 10 10 10 200
54 1 5 5 5 25

CONTAINERS
1 1 196 196 392
