============================================================
  Solver:     3DMHKP-SA.py
  Instance:   /home/mcaspar/3DMHKP/Egeblad/ep3-20-C-C-90.txt
  Value mode: flat
  Timelimit:  300s
  Reports:    /home/mcaspar/3DMHKP/results_3DMHKP_ep3
  CPUs:       1
============================================================
======================================================================
3DMHKP Simulated Annealing (random single-neighbour, sequence decoder)
SA params: T0=5% of f(S_0), alpha=0.999, T_min=0.001, reheat_threshold=5753, reheat_fraction=0.25
Move weights: {'relocate': 0.0, 'swap': 1.0, '2opt': 0.0, 'promote': 1.5, 'demote': 1.5, 'orient': 1.0, 'container': 0.5}
Time limit: 300.0s per instance, seed 399496323
======================================================================

======================================================================
ep3-20-C-C-90: 20 boxes (5 types), 1 containers (1 types)
  continuous-knapsack bound: 156253.7
  initial (value-density) decode: value 59978.0 (13/20 boxes)
  T0 = 2998.9 (5% of the initial objective)
    [iter 1] *** NEW BEST: value 62826.0, boxes 13/20, T=2998.9, elapsed=0.0s
    [iter 7] *** NEW BEST: value 77276.0, boxes 14/20, T=2981.0, elapsed=0.0s
    [iter 13] *** NEW BEST: value 80124.0, boxes 14/20, T=2963.1, elapsed=0.0s
    [iter 5766] reheat + diversify: T=749.7, value=58662.0
    [iter 11519] reheat + diversify: T=749.7, value=77276.0
    [iter 17272] reheat + diversify: T=749.7, value=80124.0
    [iter 23025] reheat + diversify: T=749.7, value=80124.0
    [iter 28778] reheat + diversify: T=749.7, value=77276.0
    [iter 34531] reheat + diversify: T=749.7, value=80124.0
    [iter 40284] reheat + diversify: T=749.7, value=58662.0
    [iter 46037] reheat + diversify: T=749.7, value=77276.0
    [iter 51790] reheat + diversify: T=749.7, value=80124.0
    [iter 57543] reheat + diversify: T=749.7, value=61510.0
    [iter 63296] reheat + diversify: T=749.7, value=80124.0
    [iter 69049] reheat + diversify: T=749.7, value=55814.0
    [iter 74802] reheat + diversify: T=749.7, value=62168.0
    [iter 80555] reheat + diversify: T=749.7, value=58662.0
    [iter 86308] reheat + diversify: T=749.7, value=80124.0
    [iter 92061] reheat + diversify: T=749.7, value=80124.0
    [iter 97814] reheat + diversify: T=749.7, value=80124.0
    [iter 103567] reheat + diversify: T=749.7, value=80124.0
    [iter 109320] reheat + diversify: T=749.7, value=61510.0
    [iter 115073] reheat + diversify: T=749.7, value=61510.0
    [iter 120826] reheat + diversify: T=749.7, value=61510.0
    [iter 126579] reheat + diversify: T=749.7, value=58662.0
    [iter 132332] reheat + diversify: T=749.7, value=80124.0
    [iter 138085] reheat + diversify: T=749.7, value=61510.0
    [iter 143838] reheat + diversify: T=749.7, value=77276.0
    [iter 149591] reheat + diversify: T=749.7, value=58662.0
    [iter 155344] reheat + diversify: T=749.7, value=80124.0
    [iter 161097] reheat + diversify: T=749.7, value=58662.0
    [iter 166850] reheat + diversify: T=749.7, value=80124.0
    [iter 172603] reheat + diversify: T=749.7, value=77276.0
    [iter 178356] reheat + diversify: T=749.7, value=80124.0
    [iter 184109] reheat + diversify: T=749.7, value=58662.0
    [iter 189862] reheat + diversify: T=749.7, value=55814.0
    [iter 195615] reheat + diversify: T=749.7, value=61510.0
    [iter 201368] reheat + diversify: T=749.7, value=77276.0
    [iter 207121] reheat + diversify: T=749.7, value=80124.0
    [iter 212874] reheat + diversify: T=749.7, value=80124.0
    [iter 218627] reheat + diversify: T=749.7, value=61510.0
    [iter 224380] reheat + diversify: T=749.7, value=80124.0
