============================================================
  Solver:     3DMHKP-SA.py
  Instance:   /home/mcaspar/3DMHKP/Egeblad/ep3-20-C-C-50.txt
  Value mode: flat
  Timelimit:  300s
  Reports:    /home/mcaspar/3DMHKP/results_3DMHKP_ep3
  CPUs:       1
============================================================
======================================================================
3DMHKP Simulated Annealing (random single-neighbour, sequence decoder)
SA params: T0=5% of f(S_0), alpha=0.999, T_min=0.001, reheat_threshold=5753, reheat_fraction=0.25
Move weights: {'relocate': 0.0, 'swap': 1.0, '2opt': 0.0, 'promote': 1.5, 'demote': 1.5, 'orient': 1.0, 'container': 0.5}
Time limit: 300.0s per instance, seed 989421822
======================================================================

======================================================================
ep3-20-C-C-50: 20 boxes (5 types), 1 containers (1 types)
  continuous-knapsack bound: 126214.6
  initial (value-density) decode: value 56330.0 (10/20 boxes)
  T0 = 2816.5 (5% of the initial objective)
    [iter 8] *** NEW BEST: value 65308.0, boxes 11/20, T=2796.8, elapsed=0.0s
    [iter 5761] reheat + diversify: T=704.1, value=47576.0
    [iter 11514] reheat + diversify: T=704.1, value=51953.0
    [iter 17267] reheat + diversify: T=704.1, value=51953.0
    [iter 23020] reheat + diversify: T=704.1, value=65308.0
    [iter 28773] reheat + diversify: T=704.1, value=65308.0
    [iter 34526] reheat + diversify: T=704.1, value=65308.0
    [iter 40279] reheat + diversify: T=704.1, value=51953.0
    [iter 46032] reheat + diversify: T=704.1, value=65308.0
    [iter 51785] reheat + diversify: T=704.1, value=47576.0
    [iter 57538] reheat + diversify: T=704.1, value=52611.0
    [iter 63291] reheat + diversify: T=704.1, value=51953.0
    [iter 69044] reheat + diversify: T=704.1, value=51953.0
    [iter 74797] reheat + diversify: T=704.1, value=65308.0
    [iter 80550] reheat + diversify: T=704.1, value=52611.0
    [iter 86303] reheat + diversify: T=704.1, value=48234.0
    [iter 92056] reheat + diversify: T=704.1, value=65308.0
    [iter 97809] reheat + diversify: T=704.1, value=65308.0
    [iter 103562] reheat + diversify: T=704.1, value=65308.0
    [iter 109315] reheat + diversify: T=704.1, value=65308.0
    [iter 115068] reheat + diversify: T=704.1, value=48234.0
    [iter 120821] reheat + diversify: T=704.1, value=51953.0
    [iter 126574] reheat + diversify: T=704.1, value=65308.0
    [iter 132327] reheat + diversify: T=704.1, value=65308.0
    [iter 138080] reheat + diversify: T=704.1, value=48234.0
    [iter 143833] reheat + diversify: T=704.1, value=51953.0
    [iter 149586] reheat + diversify: T=704.1, value=65308.0
    [iter 155339] reheat + diversify: T=704.1, value=51953.0
    [iter 161092] reheat + diversify: T=704.1, value=51953.0
    [iter 166845] reheat + diversify: T=704.1, value=65308.0
    [iter 172598] reheat + diversify: T=704.1, value=51953.0
    [iter 178351] reheat + diversify: T=704.1, value=65308.0
    [iter 184104] reheat + diversify: T=704.1, value=65308.0
    [iter 189857] reheat + diversify: T=704.1, value=52611.0
    [iter 195610] reheat + diversify: T=704.1, value=52611.0
    [iter 201363] reheat + diversify: T=704.1, value=52611.0
    [iter 207116] reheat + diversify: T=704.1, value=65308.0
    [iter 212869] reheat + diversify: T=704.1, value=51953.0
    [iter 218622] reheat + diversify: T=704.1, value=48234.0
    [iter 224375] reheat + diversify: T=704.1, value=51953.0
    [iter 230128] reheat + diversify: T=704.1, value=65308.0
    [iter 235881] reheat + diversify: T=704.1, value=65308.0
    [iter 241634] reheat + diversify: T=704.1, value=65308.0
    [iter 247387] reheat + diversify: T=704.1, value=48234.0
