============================================================
  Solver:     3DMHKP-SA.py
  Instance:   /home/mcaspar/3DMHKP/Egeblad/ep3-40-C-C-90.txt
  Value mode: flat
  Timelimit:  300s
  Reports:    /home/mcaspar/3DMHKP/results_3DMHKP_ep3
  CPUs:       1
============================================================
======================================================================
3DMHKP Simulated Annealing (random single-neighbour, sequence decoder)
SA params: T0=5% of f(S_0), alpha=0.999, T_min=0.001, reheat_threshold=5753, reheat_fraction=0.25
Move weights: {'relocate': 0.0, 'swap': 1.0, '2opt': 0.0, 'promote': 1.5, 'demote': 1.5, 'orient': 1.0, 'container': 0.5}
Time limit: 300.0s per instance, seed 1484794339
======================================================================

======================================================================
ep3-40-C-C-90: 40 boxes (5 types), 1 containers (1 types)
  continuous-knapsack bound: 359606.6
  initial (value-density) decode: value 151275.0 (28/40 boxes)
  T0 = 7563.8 (5% of the initial objective)
    [iter 2] *** NEW BEST: value 173163.0, boxes 24/40, T=7556.2, elapsed=0.0s
    [iter 10] *** NEW BEST: value 221002.0, boxes 28/40, T=7495.9, elapsed=0.0s
    [iter 38] *** NEW BEST: value 243447.0, boxes 33/40, T=7288.9, elapsed=0.0s
    [iter 5791] reheat + diversify: T=1890.9, value=243447.0
    [iter 11544] reheat + diversify: T=1890.9, value=243447.0
    [iter 17297] reheat + diversify: T=1890.9, value=243447.0
    [iter 23050] reheat + diversify: T=1890.9, value=243447.0
    [iter 28803] reheat + diversify: T=1890.9, value=223525.0
    [iter 34556] reheat + diversify: T=1890.9, value=233486.0
    [iter 40309] reheat + diversify: T=1890.9, value=243447.0
    [iter 46062] reheat + diversify: T=1890.9, value=233486.0
    [iter 51815] reheat + diversify: T=1890.9, value=233486.0
    [iter 57568] reheat + diversify: T=1890.9, value=228997.0
    [iter 63321] reheat + diversify: T=1890.9, value=243447.0
    [iter 69074] reheat + diversify: T=1890.9, value=233486.0
    [iter 74827] reheat + diversify: T=1890.9, value=233486.0
    [iter 80580] reheat + diversify: T=1890.9, value=233486.0
    [iter 86333] reheat + diversify: T=1890.9, value=243447.0
    [iter 92086] reheat + diversify: T=1890.9, value=243447.0
    [iter 97839] reheat + diversify: T=1890.9, value=243447.0
    [iter 103592] reheat + diversify: T=1890.9, value=243447.0
    [iter 109345] reheat + diversify: T=1890.9, value=233486.0
    [iter 115098] reheat + diversify: T=1890.9, value=209075.0
    [iter 120851] reheat + diversify: T=1890.9, value=233486.0
    [iter 126604] reheat + diversify: T=1890.9, value=194625.0
    [iter 132357] reheat + diversify: T=1890.9, value=223525.0
    [iter 138110] reheat + diversify: T=1890.9, value=223525.0
    [iter 143863] reheat + diversify: T=1890.9, value=233486.0
    [iter 149616] reheat + diversify: T=1890.9, value=223525.0
    [iter 155369] reheat + diversify: T=1890.9, value=233486.0
    [iter 161122] reheat + diversify: T=1890.9, value=243447.0
    [iter 166875] reheat + diversify: T=1890.9, value=194625.0
    [iter 172628] reheat + diversify: T=1890.9, value=233486.0
    [iter 178381] reheat + diversify: T=1890.9, value=233486.0
    [iter 184134] reheat + diversify: T=1890.9, value=228997.0
    [iter 189887] reheat + diversify: T=1890.9, value=243447.0
    [iter 195640] reheat + diversify: T=1890.9, value=209075.0
    [iter 201393] reheat + diversify: T=1890.9, value=243447.0
    [iter 207146] reheat + diversify: T=1890.9, value=233486.0
    [iter 212899] reheat + diversify: T=1890.9, value=243447.0
    [iter 218652] reheat + diversify: T=1890.9, value=233486.0
