# Bischoff & Ratcliff container-loading instance BR9-24, converted from
# BR/BR9/24.json (kcliu2/CLP-Datasets on GitHub).
# Source: Davies, A.P. & Bischoff, E.E. (1999), EJOR 114(3):509-527.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 98 (40 distinct types)
# Total profit if all packed: 30047478
# Total box volume: 30047478   Container volume: 30089620   (ratio 0.999)

BOXES
1 3 113 80 29 1
2 3 98 65 62 1
3 1 60 59 46 1
4 3 100 97 64 1
5 1 99 88 23 1
6 3 106 49 33 1
7 1 78 54 30 1
8 2 71 68 41 1
9 1 83 80 35 1
10 3 99 55 27 1
11 2 91 51 43 1
12 5 99 78 72 1
13 1 102 88 37 1
14 2 97 75 72 1
15 4 83 63 27 1
16 1 78 38 36 1
17 3 120 88 55 1
18 2 77 72 38 1
19 3 45 38 25 1
20 2 73 48 23 1
21 2 87 73 38 1
22 2 94 75 33 1
23 1 71 64 56 1
24 3 94 69 48 1
25 3 75 66 46 1
26 4 89 75 56 1
27 1 62 38 34 1
28 4 81 71 52 1
29 1 88 79 53 1
30 3 51 44 35 1
31 3 92 83 80 1
32 1 70 68 41 1
33 2 109 58 40 1
34 4 75 56 30 1
35 5 77 66 58 1
36 1 62 32 23 1
37 2 90 39 23 1
38 1 99 71 56 1
39 4 108 75 71 1
40 5 101 99 57 1
CONTAINERS
1 1 587 220 233
