# Bischoff & Ratcliff container-loading instance BR11-43, converted from
# BR/BR11/43.json (kcliu2/CLP-Datasets on GitHub).
# Source: Davies, A.P. & Bischoff, E.E. (1999), EJOR 114(3):509-527.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 119 (60 distinct types)
# Total profit if all packed: 30046213
# Total box volume: 30046213   Container volume: 30089620   (ratio 0.999)

BOXES
1 2 82 80 71 1
2 3 66 37 27 1
3 1 77 76 31 1
4 2 100 56 38 1
5 1 93 86 67 1
6 3 89 76 30 1
7 2 98 90 67 1
8 3 87 52 42 1
9 1 53 42 35 1
10 3 116 53 36 1
11 2 85 79 46 1
12 1 106 91 24 1
13 1 112 84 46 1
14 2 89 56 47 1
15 1 62 51 39 1
16 5 69 67 50 1
17 3 93 74 46 1
18 2 74 48 35 1
19 1 95 87 66 1
20 1 84 54 30 1
21 2 119 40 28 1
22 1 98 60 58 1
23 3 83 57 44 1
24 1 83 83 20 1
25 3 88 51 46 1
26 1 87 76 73 1
27 2 66 56 35 1
28 3 76 72 66 1
29 1 76 63 40 1
30 2 114 97 66 1
31 2 86 81 61 1
32 1 116 79 73 1
33 3 70 25 25 1
34 3 85 76 70 1
35 1 71 39 32 1
36 1 112 37 28 1
37 2 76 75 34 1
38 3 80 73 33 1
39 3 114 71 49 1
40 1 85 77 76 1
41 2 114 83 59 1
42 1 117 74 22 1
43 2 79 61 59 1
44 1 96 40 25 1
45 1 69 57 44 1
46 3 76 50 41 1
47 3 90 77 59 1
48 3 120 42 28 1
49 3 98 35 20 1
50 1 34 30 25 1
51 1 99 67 45 1
52 1 87 48 40 1
53 2 88 71 47 1
54 2 97 97 32 1
55 1 95 44 39 1
56 3 45 40 37 1
57 6 117 76 28 1
58 1 73 58 38 1
59 1 68 55 40 1
60 2 59 33 30 1
CONTAINERS
1 1 587 220 233
