# Bischoff & Ratcliff container-loading instance BR11-60, converted from
# BR/BR11/60.json (kcliu2/CLP-Datasets on GitHub).
# Source: Davies, A.P. & Bischoff, E.E. (1999), EJOR 114(3):509-527.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 151 (60 distinct types)
# Total profit if all packed: 30088342
# Total box volume: 30088342   Container volume: 30089620   (ratio 1.000)

BOXES
1 2 78 72 58 1
2 3 107 57 57 1
3 3 72 64 37 1
4 4 93 66 26 1
5 3 116 67 35 1
6 2 101 56 39 1
7 5 108 100 39 1
8 4 64 55 33 1
9 2 73 65 53 1
10 2 106 41 35 1
11 5 82 78 28 1
12 1 79 59 58 1
13 4 92 84 22 1
14 1 80 65 50 1
15 4 82 77 24 1
16 2 74 73 51 1
17 1 90 43 40 1
18 1 98 70 51 1
19 5 69 32 30 1
20 2 107 69 53 1
21 3 46 42 31 1
22 2 51 34 25 1
23 2 104 94 31 1
24 3 115 29 28 1
25 2 86 79 47 1
26 4 108 44 25 1
27 1 99 42 32 1
28 2 55 49 39 1
29 2 54 53 48 1
30 2 85 76 75 1
31 4 119 77 45 1
32 1 97 67 39 1
33 1 78 59 40 1
34 1 78 32 21 1
35 1 111 51 25 1
36 2 78 74 64 1
37 3 57 55 35 1
38 2 55 41 37 1
39 2 86 36 26 1
40 4 72 66 40 1
41 2 103 45 33 1
42 5 65 52 30 1
43 2 112 72 64 1
44 3 54 49 36 1
45 1 98 45 34 1
46 3 68 61 57 1
47 3 50 50 42 1
48 1 107 78 48 1
49 4 93 73 45 1
50 2 93 42 39 1
51 2 94 76 57 1
52 3 58 44 39 1
53 4 55 52 45 1
54 3 98 68 54 1
55 3 102 75 32 1
56 4 52 52 20 1
57 2 59 30 26 1
58 1 74 64 30 1
59 2 74 50 34 1
60 1 48 47 27 1
CONTAINERS
1 1 587 220 233
