340;270;500;5;1;1;1;0;0
650;330;430;10;1;1;1;0;0
950;260;130;4;1;1;1;0;0
1200;1000;1540;297;0;0;1;0;0
1200;1000;440;200;0;0;1;0;0
650;330;430;10;1;1;1;0;0
1200;800;1210;100;0;0;1;0;0
1200;800;140;25;1;1;1;0;0
1520;1000;1000;141;0;0;1;0;0
430;380;360;15;1;1;1;0;0
250;350;40;1;1;1;1;0;0
380;340;130;5;1;1;1;0;0
1150;1150;1600;333;0;0;1;0;0
1200;800;620;60;0;0;1;0;0
1200;800;1210;100;0;0;1;0;0
800;600;420;49;1;1;1;0;0
1200;800;1150;86;0;0;1;0;0
1010;160;260;5;1;1;1;0;0
1230;830;920;243;0;0;1;0;0
340;340;520;20;1;1;1;0;0
1570;110;110;12;1;1;1;0;0
1200;800;1210;100;0;0;1;0;0
1200;800;1210;100;0;0;1;0;0
1200;800;1210;100;0;0;1;0;0
1520;1000;1000;141;0;0;1;0;0
380;340;130;5;1;1;1;0;0
1200;800;1200;100;0;0;1;0;0
650;330;430;10;1;1;1;0;0
1200;1000;1000;133;0;0;1;0;0
650;330;430;10;1;1;1;0;0
1200;800;140;25;1;1;1;0;0
1200;1000;1180;693;0;0;1;0;0
430;380;360;15;1;1;1;0;0
1200;1000;1120;100;0;0;1;0;0
600;400;800;68;0;0;1;0;0
1200;800;740;130;0;0;1;0;0
1200;1000;1000;58;0;0;1;1;0
380;340;130;5;1;1;1;0;0
430;380;360;15;1;1;1;0;0
1200;800;1210;100;0;0;1;0;0
1140;630;710;5;1;1;1;1;0
130;130;130;4;1;1;1;0;1
340;340;520;20;1;1;1;0;0
800;600;570;55;0;0;1;0;0
4000;100;100;10;1;1;1;0;0
1200;800;1150;86;0;0;1;0;0
430;380;360;15;1;1;1;0;0
610;610;190;6;1;1;1;0;0
1220;1020;910;155;0;0;1;0;0
1200;800;1210;100;0;0;1;0;0
730;720;710;36;1;1;1;0;0
1150;1150;1600;333;0;0;1;0;0
4150;650;600;200;0;0;1;0;0
610;470;470;29;1;1;1;0;0
1200;800;1210;100;0;0;1;0;0
1200;1000;920;100;0;0;1;0;0
1200;1000;790;243;0;0;1;0;0
600;400;800;68;0;0;1;0;0
1200;1000;750;134;0;0;1;0;0
1200;800;1210;100;0;0;1;0;0
950;700;700;120;0;0;1;0;0
650;330;430;10;1;1;1;0;0
430;380;360;15;1;1;1;0;0
380;340;130;5;1;1;1;0;0
310;180;120;1;1;1;1;0;0
380;340;130;5;1;1;1;0;0
430;380;360;15;1;1;1;0;0
340;270;500;5;1;1;1;0;0
1200;800;400;27;1;1;1;0;0
1520;1000;1000;141;0;0;1;0;0
1850;1370;1110;340;0;0;1;0;0
380;340;130;5;1;1;1;0;0
430;380;360;15;1;1;1;0;0
1200;800;1210;100;0;0;1;0;0
1720;1720;420;1983;0;0;1;0;1
1200;1000;1050;168;0;0;1;0;0
1240;800;920;453;0;0;1;0;0
1130;1000;750;500;0;0;1;0;0
420;290;290;8;1;1;1;0;0
430;380;360;15;1;1;1;0;0
1220;1020;910;155;0;0;1;0;0
800;600;900;75;0;0;1;0;0
1100;200;200;12;1;1;1;0;0
380;380;320;6;1;1;1;0;0
610;610;190;6;1;1;1;0;0
430;380;360;15;1;1;1;0;0
610;610;190;6;1;1;1;0;0
2480;1680;1400;181;0;0;1;1;0
360;280;300;7;1;1;1;0;0
300;200;150;1;1;1;1;0;0
650;650;1700;424;0;0;1;0;0
1220;1020;650;155;0;0;1;0;0
380;340;130;5;1;1;1;0;0
430;380;360;15;1;1;1;0;0
340;340;520;20;1;1;1;0;0
650;330;430;10;1;1;1;0;0
430;380;360;15;1;1;1;0;0
1220;1020;800;103;0;0;1;0;0
250;250;250;4;1;1;1;0;0
430;380;360;15;1;1;1;0;0
