# Bischoff & Ratcliff container-loading instance BR8-21, converted from
# BR/BR8/21.json (kcliu2/CLP-Datasets on GitHub).
# Source: Davies, A.P. & Bischoff, E.E. (1999), EJOR 114(3):509-527.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 120 (30 distinct types)
# Total profit if all packed: 29724697
# Total box volume: 29724697   Container volume: 30089620   (ratio 0.988)

BOXES
1 3 109 93 72 1
2 5 95 67 32 1
3 3 119 45 36 1
4 2 95 78 62 1
5 3 116 89 32 1
6 4 98 65 38 1
7 3 72 51 24 1
8 4 102 88 26 1
9 4 99 47 44 1
10 6 106 52 31 1
11 3 55 41 32 1
12 6 71 65 29 1
13 6 58 57 48 1
14 2 79 56 25 1
15 7 77 67 53 1
16 4 60 41 40 1
17 4 75 51 31 1
18 3 86 56 40 1
19 2 39 35 30 1
20 2 119 76 48 1
21 3 95 68 66 1
22 4 100 74 62 1
23 5 120 69 36 1
24 7 68 42 32 1
25 8 97 81 37 1
26 4 99 88 79 1
27 1 66 65 53 1
28 6 80 58 53 1
29 3 113 41 28 1
30 3 84 74 59 1
CONTAINERS
1 1 587 220 233
