# Bischoff & Ratcliff container-loading instance BR17-68, converted from
# BR/BR17/68.json (kcliu2/CLP-Datasets on GitHub).
# Source: Liu, C., Smith-Miles, K., Wauters, T. & Costa, A.M. (2025), Computers & Operations Research 182:107111.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 131 (120 distinct types)
# Total profit if all packed: 30086069
# Total box volume: 30086069   Container volume: 30089620   (ratio 1.000)

BOXES
1 1 60 44 36 1
2 1 76 42 40 1
3 1 65 49 48 1
4 1 109 92 51 1
5 1 93 42 31 1
6 1 83 64 59 1
7 1 96 90 55 1
8 1 52 42 31 1
9 1 98 72 61 1
10 1 118 98 57 1
11 1 48 31 25 1
12 1 75 67 50 1
13 1 120 66 32 1
14 1 91 76 65 1
15 1 102 71 49 1
16 1 93 89 59 1
17 1 76 48 23 1
18 1 63 53 23 1
19 1 83 59 27 1
20 1 85 69 53 1
21 1 97 55 22 1
22 1 86 67 56 1
23 2 99 85 44 1
24 1 48 46 39 1
25 1 61 58 22 1
26 1 74 45 42 1
27 1 94 88 66 1
28 1 77 54 41 1
29 1 44 37 27 1
30 1 94 43 35 1
31 1 104 70 63 1
32 1 99 96 26 1
33 1 74 72 33 1
34 1 103 100 60 1
35 1 96 81 78 1
36 2 60 30 30 1
37 1 105 81 44 1
38 1 116 71 64 1
39 1 91 56 41 1
40 1 94 68 65 1
41 1 94 66 49 1
42 1 59 41 38 1
43 2 93 66 57 1
44 1 91 61 56 1
45 1 91 73 24 1
46 2 91 69 56 1
47 1 106 64 36 1
48 1 96 66 34 1
49 1 109 67 48 1
50 1 67 43 40 1
51 1 100 29 23 1
52 1 98 59 36 1
53 1 92 70 54 1
54 1 94 77 39 1
55 1 78 56 23 1
56 1 85 77 26 1
57 1 107 64 48 1
58 1 107 85 23 1
59 1 79 54 49 1
60 1 69 60 54 1
61 1 101 79 25 1
62 1 62 53 45 1
63 1 117 71 33 1
64 2 103 51 46 1
65 1 74 68 26 1
66 1 90 52 22 1
67 1 114 50 36 1
68 1 52 40 37 1
69 1 113 49 47 1
70 1 66 61 43 1
71 1 94 63 26 1
72 1 102 89 57 1
73 1 89 66 29 1
74 1 62 39 34 1
75 1 103 84 22 1
76 1 95 60 32 1
77 1 61 53 31 1
78 2 82 31 20 1
79 2 69 57 50 1
80 1 49 45 41 1
81 1 69 65 37 1
82 1 84 46 25 1
83 1 115 65 28 1
84 1 115 35 28 1
85 1 68 60 56 1
86 1 102 97 62 1
87 2 68 44 41 1
88 1 103 79 68 1
89 1 108 56 35 1
90 2 78 74 46 1
91 1 80 43 40 1
92 1 69 46 35 1
93 1 67 54 35 1
94 1 85 72 39 1
95 1 91 71 36 1
96 1 46 31 30 1
97 1 77 54 30 1
98 1 107 66 49 1
99 1 75 47 38 1
100 1 41 34 30 1
101 1 54 36 27 1
102 1 95 66 53 1
103 1 110 71 41 1
104 1 86 54 27 1
105 1 119 39 36 1
106 1 117 64 46 1
107 1 114 58 53 1
108 1 86 80 35 1
109 1 51 46 27 1
110 1 69 62 23 1
111 1 63 43 29 1
112 1 98 50 41 1
113 1 35 31 25 1
114 1 96 71 51 1
115 1 46 42 38 1
116 1 64 44 39 1
117 2 108 80 75 1
118 2 70 57 33 1
119 1 92 49 31 1
120 1 60 33 28 1
CONTAINERS
1 1 587 220 233
